			time	P1	Y1	R1	P2	Y2	R2	P3	Y3	R3	P4	Y4	R4	P5	Y5	R5	Xpos	Ypos	Zpos	Xangle	Yangle	Zangle	Xled	Yled	Zled	fingers	goalIter	goalNum	goalSlot	OccupiedSlot	AgainstBorder	VelX	VelY	VelZ	VelXang	VelYang	VelZAng	grasp	fingers
0	0.0016602	0.0521761	0.570144	0.000829437	0.00187744	0.00581063	0.00242514	0.0011207	-0.005373	0.00122379	0.00169355	0.0013449	0.00102442	0.00154407	-0.012459	0.0357936	-0.0255035	-0.00967603	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.580093	0.000829437	0.00187744	0.00581063	0.00238232	0.00122549	-0.00515399	0.0011364	0.00164308	0.00142338	0.00102704	0.00158408	-0.012635	0.0357936	-0.0255035	-0.00967603	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.590109	0.000829437	0.00187744	0.00581063	0.00238232	0.00122549	-0.00515399	0.0011364	0.00164308	0.00142338	0.00097517	0.00157422	-0.0129309	0.0357403	-0.0255604	-0.00970551	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.6001	0.000762338	0.0018998	0.00619775	0.00238232	0.00122549	-0.00515399	0.000857397	0.00161764	0.00135722	0.00097517	0.00157422	-0.0129309	0.0357403	-0.0255604	-0.00970551	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.610091	0.000762338	0.0018998	0.00619775	0.00234303	0.00132843	-0.00499381	0.000829632	0.00161805	0.00133745	0.00097517	0.00157422	-0.0129309	0.0356084	-0.0258399	-0.00996222	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.620088	0.000762338	0.0018998	0.00619775	0.00234303	0.00132843	-0.00499381	0.00081565	0.00162809	0.00131946	0.000786535	0.00147694	-0.0135637	0.0353359	-0.0260628	-0.0104788	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.630089	0.000744805	0.00194668	0.00639886	0.00229787	0.00142415	-0.00488273	0.000828794	0.00162466	0.00130497	0.000786535	0.00147694	-0.0135637	0.0353359	-0.0260628	-0.0104788	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.640081	0.000754524	0.0019608	0.0064516	0.00229787	0.00142415	-0.00488273	0.000828794	0.00162466	0.00130497	0.000738597	0.00140969	-0.013788	0.0353359	-0.0260628	-0.0104788	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.650095	0.000754524	0.0019608	0.0064516	0.00229787	0.00142415	-0.00488273	0.000836731	0.0016387	0.00127778	0.000633868	0.00124692	-0.0142908	0.0351839	-0.026137	-0.0109141	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.660089	0.000754524	0.0019608	0.0064516	0.00227325	0.00146073	-0.00488097	0.000812449	0.00174665	0.00115228	0.000571254	0.0012304	-0.0144477	0.0351839	-0.026137	-0.0109141	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
0	0.0016602	0.0521761	0.670093	0.0008748	0.00202011	0.00675258	0.00220027	0.00155602	-0.00484806	0.000812449	0.00174665	0.00115228	0.000571254	0.0012304	-0.0144477	0.0349579	-0.0262043	-0.0110206	0.215975	0.39834	0.297824	2.24285	-0.541334	-2.34596	0.215975	0.39834	0.197824	5332	0	0	-1	-1	0	0	0	0	0	0	0	0	0
